PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Lee, P; Theodoropoulos, G		Laroque, C; Himmelspach, J; Pasupathy, R		Lee, Peter; Theodoropoulos, Georgios			AN OPEN SOURCE SIMULATION-BASED APPROACH FOR NEIGHBOURHOOD SPATIAL PLANNING POLICY	2012 WINTER SIMULATION CONFERENCE (WSC)	Winter Simulation Conference Proceedings		English	Proceedings Paper	Winter Simulation Conference (WSC)	DEC 09-12, 2012	Berlin, GERMANY					We describe the development of a practical tool for urban planning, using innovations in agent-based modelling to reconcile conflicts at the local/neighbourhood level and designed to improve engagement in neighbourhood spatial planning to deliver optimal planning and regeneration solutions. Neighbourhood or 'place' is an important factor in deciding social and economic outcomes. Neighbourhood is also increasingly important for urban planning across Europe as communities are at the front-line in developing resilience to anthropogenic and natural shocks. The current financial crisis and public sector austerity measures across Europe represent shocks to local communities that require policymakers to maximize investments and resources delivered to local communities. Communities and citizens can therefore play a bigger role in contributing to the resilience of cities through local neighbourhood planning. However, there is a need to work differently as public and private finances are restricted and communities need to co-produce plans and delivery of services. Co-production can therefore be one contribution to solutions designed to foster resilience and deliver efficient neighbourhood planning and associated services. Co-production in this context requires an open source approach in which producers and consumers can observe viewpoints and react to the implications of simulated outcomes. Whilst there are numerous examples of Planning Support Systems (PSS) designed to assist urban planners there has been no significant progress made in developing a 'grounded' approach incorporating 'real-time' inputs from users and stakeholders at the neighbourhood level. This paper sets out the principles and objectives of a simulation-based OpenPlan system in which producers and consumers swap roles. This leads to a greater co-production of planning inputs designed to deliver optimal outcomes and more resilient cities.	[Lee, Peter] Univ Birmingham, Sch Geog Earth & Environm Sci, Ctr Urban & Reg Studies, Birmingham B15 2TT, W Midlands, England	University of Birmingham	Lee, P (corresponding author), Univ Birmingham, Sch Geog Earth & Environm Sci, Ctr Urban & Reg Studies, Birmingham B15 2TT, W Midlands, England.	p.w.lee@bham.ac.uk; geortheo@ie.ibm.com		Theodoropoulos, Georgios/0000-0002-7448-5886					29	0	0	1	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0891-7736		978-1-4673-4779-2; 978-1-4673-4780-8	WINT SIMUL C PROC			2012														11	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BFD03					2023-10-25	WOS:000319225501017
J	Nirupama, N; Maula, A				Nirupama, N.; Maula, Amanda			Engaging public for building resilient communities to reduce disaster impact	NATURAL HAZARDS			English	Article						Community resilience; Community participation; Disaster; Vulnerability; Risk perception		Perception about people's behaviour during emergencies defines, to a large extent, the course of planning and resource allocation for community emergency response as well as development of mitigation measures. During the past decade, there has been a paradigm shift in the approach to disaster management. A recent trend has been to encourage more community participation as opposed to the top-down approach of the past. It is believed that community participation will bring about a comprehensive and accurate appreciation of people's perception regarding hazards, risk, vulnerability, and resilience, and this research is an attempt to achieve just that. In order to accomplish our goal, we engaged a group of women that would typically fall into the category of "vulnerable group" in a focus group interview setting. The participants were mainly over 40 years old, the majority with little education, unemployed, facing language barriers, of low income, and reliant on public transit. Many participants identified that they lived in the vicinity of rivers, lakes, railways, or power plants, but did not seem to be aware of their exposure to potential threats-indicating a lack of education and awareness. The most common hazards and mitigation measures they were aware of, included floods (including basement flooding), fire, fire alarm, and smoke detectors. Additionally, illness and loneliness were mentioned as factors contributing to their increased vulnerability, hence reduced resiliency. With the help of the focus group members' participation, we were able to discuss the importance of communities being aware of their surroundings, available resources and help, and permit them to voice their concerns in order to be able to cope during emergencies. We trust and hope that more community participation will lead to stronger and more resilient cities.	[Nirupama, N.; Maula, Amanda] York Univ, Toronto, ON M3J 2R7, Canada	York University - Canada	Nirupama, N (corresponding author), York Univ, Toronto, ON M3J 2R7, Canada.	nirupama@yorku.ca			SSHRC	SSHRC(Social Sciences and Humanities Research Council of Canada (SSHRC))	The authors would like to thank Kripa Sekhar, Executive Director of the South Asian Women Centre for her support in facilitating the focus group interview session. The first author acknowledges the use the SSHRC funds towards engaging a graduate student for the study.		26	14	16	3	96	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0921-030X	1573-0840		NAT HAZARDS	Nat. Hazards	MAR	2013	66	1					51	59		10.1007/s11069-011-0045-9	http://dx.doi.org/10.1007/s11069-011-0045-9			9	Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Geology; Meteorology & Atmospheric Sciences; Water Resources	081DO					2023-10-25	WOS:000314297100005
J	Pramova, E; Locatelli, B; Djoudi, H; Somorin, OA				Pramova, Emilia; Locatelli, Bruno; Djoudi, Houria; Somorin, Olufunso A.			Forests and trees for social adaptation to climate variability and change	WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE			English	Review							ECOSYSTEM-BASED ADAPTATION; ADAPTIVE CAPACITY; TROPICAL FORESTS; AGRICULTURAL INTENSIFICATION; ENVIRONMENTAL SERVICES; MANGROVE RESTORATION; COASTAL VEGETATION; NATURAL INSURANCE; COPING STRATEGIES; 2004 TSUNAMI	Ecosystems provide important services that can help people adapt to climate variability and change. Recognizing this role of ecosystems, several international and nongovernmental organizations have promoted an ecosystem-based approach to adaptation. We review the scientific literature related to ecosystem-based adaptation (EBA) with forests and trees, and highlight five cases in which forests and trees can support adaptation: (1) forests and trees providing goods to local communities facing climatic threats; (2) trees in agricultural fields regulating water, soil, and microclimate for more resilient production; (3) forested watersheds regulating water and protecting soils for reduced climate impacts; (4) forests protecting coastal areas from climate-related threats; and (5) urban forests and trees regulating temperature and water for resilient cities. The literature provides evidence that EBA with forests and trees can reduce social vulnerability to climate hazards; however, uncertainties and knowledge gaps remain, particularly for regulating services in watersheds and coastal areas. Few studies have been undertaken on EBA specifically, but the abundant literature on ecosystem services can be used to fill knowledge gaps. Many studies assess the multiple benefits of ecosystems for human adaptation or well-being, but also recognize trade-offs between ecosystem services. Better understanding is needed of the efficiency, costs, and benefits, and trade-offs of EBA with forests and trees. Pilot projects under implementation could serve as learning sites and existing information could be systematized and revisited with a climate change adaptation lens. WIREs Clim Change 2012, 3:581596. doi: 10.1002/wcc.195 For further resources related to this article, please visit the WIREs website.	[Pramova, Emilia; Locatelli, Bruno; Djoudi, Houria] Ctr Int Forestry Res CIFOR, Bogor, Indonesia; [Locatelli, Bruno] Ctr Cooperat Int Rech Agron Dev CIRAD, Montpellier, France; [Somorin, Olufunso A.] Ctr Int Forestry Res CIFOR, Yaounde, Cameroon; [Somorin, Olufunso A.] Wageningen Univ, Forest & Nat Conservat Policy Grp, Wageningen, Netherlands	CGIAR; Center for International Forestry Research (CIFOR); CIRAD; CGIAR; Center for International Forestry Research (CIFOR); Wageningen University & Research	Pramova, E (corresponding author), Ctr Int Forestry Res CIFOR, Bogor, Indonesia.	e.pramova@cgiar.org	Locatelli, Bruno/C-9957-2009; Somorin, Olufunso A/F-7143-2010	Locatelli, Bruno/0000-0003-2983-1644; Somorin, Olufunso A/0000-0002-2526-5668; Pramova, Emilia/0000-0003-2347-3444	French Global Environment Facility; Congo Basin ecosystems conservation support programme (PACEBCo) of the African Development Bank; Economic Community of Central African States; CRP6 (Consortium Research Program on Forests, Trees, and Agroforestry)	French Global Environment Facility; Congo Basin ecosystems conservation support programme (PACEBCo) of the African Development Bank; Economic Community of Central African States; CRP6 (Consortium Research Program on Forests, Trees, and Agroforestry)	The authors acknowledge two anonymous reviewers for their comments. This document was produced with the financial assistance of CRP6 (Consortium Research Program on Forests, Trees, and Agroforestry), the ACFAO project, funded by the French Global Environment Facility, and the COBAM project, funded by the Congo Basin ecosystems conservation support programme (PACEBCo) of the African Development Bank and the Economic Community of Central African States.		124	96	96	3	192	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1757-7780	1757-7799		WIRES CLIM CHANGE	Wiley Interdiscip. Rev.-Clim. Chang.	NOV-DEC	2012	3	6					581	596		10.1002/wcc.195	http://dx.doi.org/10.1002/wcc.195			16	Environmental Studies; Meteorology & Atmospheric Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences	021UO		hybrid, Green Submitted, Green Published			2023-10-25	WOS:000309911100006
J	Muller, M				Muller, Mike			Adapting to climate change: water management for urban resilience	ENVIRONMENT AND URBANIZATION			English	Article						adaptation; aid effectiveness; climate change; dams; hydrology; sub-Saharan Africa; water		Global warming and related climate changes are likely to significantly increase the weather-related risks facing human settlements, including floods, water and power supply failures and associated economic collapse into "failed cities". Action to help poor urban communities adapt to become more resilient to possible change must therefore be initiated, although to date attention has focused on mitigation rather than adaptation. This paper considers the physical and financial implications for urban areas of the potential impacts of climate variability and change on water resources, illustrated by examples from sub-Saharan Africa, which is likely to be one of the most vulnerable and most affected regions. Water management, which will be particularly affected by climate change, could provide an opportunity to initiate structured adaptation responses. Adaptation costs in the sub-Saharan urban water sector are estimated at between 10 and 20 per cent of current overseas development assistance to the region. This paper suggests that additional funding should be made available in terms of the "polluter pays" principle, and should be channelled through government budgets rather than ring-fenced climate funds. This would help ensure that "climate proofing" is mainstreamed and would be in keeping with current trends in overseas development assistance reflected in the 2005 Paris Declaration on Aid Effectiveness.	Univ Witwatersrand, Sch Publ & Dev Management, ZA-2050 Johannesburg, South Africa	University of Witwatersrand	Muller, M (corresponding author), Univ Witwatersrand, Sch Publ & Dev Management, ZA-2050 Johannesburg, South Africa.	mikemuller1949@gmail.com	Muller, Mike/HLQ-6114-2023; muller, mike/AAI-5023-2020	muller, mike/0000-0002-4252-3200					30	129	132	3	148	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	0956-2478	1746-0301		ENVIRON URBAN	Environ. Urban.	APR	2007	19	1					99	113		10.1177/0956247807076726	http://dx.doi.org/10.1177/0956247807076726			15	Environmental Studies; Urban Studies	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Urban Studies	166VO					2023-10-25	WOS:000246409000006
C	Mathey, J; Rössler, S; Lehmann, I; Bräuer, A		OttoZimmermann, K		Mathey, Juliane; Roessler, Stefanie; Lehmann, Iris; Braeuer, Anne			Urban Green Spaces: Potentials and Constraints for Urban Adaptation to Climate Change	RESILIENT CITIES: CITIES AND ADAPTATION TO CLIMATE CHANGE - PROCEEDINGS OF THE GLOBAL FORUM 2010	Local Sustainability		English	Proceedings Paper	1st Annual Global Forum on Cities and Adaptation to Climate Change. Resilient Cities 2010	MAY 28-30, 2010	ICLEI, Bonn, GERMANY	EU European Regional Dev Fund, State N Rhine Westphalia, Fdn Int Dialogue Savings Bank Bonn, Solar World, Rockefeller Fdn, UNISDR, USAID, World Bank Inst	ICLEI	Urban adaptation; Green space planning; Urban resilience	SURFACE; MODEL	Urban development has to meet the challenge of establishing adaptation strategies in response to climate change. In view of its potential to regulate urban climates, green infrastructure will assume a critical role in these strategies. In addition to their positive microclimatic effects, as a source of cooling in dense, hot cities urban green spaces can contribute to mitigation. They can operate as carbon sinks or can reduce energy consumption for air conditioning by providing shade by urban trees or roof-top greenery. Thus, urban green spaces should be incorporated as a significant component into both adaptation and mitigation strategies. This paper focuses on the potentials and constraints of various types and structures of urban green spaces and vegetation in influencing climatic conditions in urban areas. It examines the ability of urban green spaces to counter the urban heat island effect and other impacts of climate change. The scientific findings discussed are based on urban vegetation analysis and climate modelling as well as analysis of planning approaches and instruments in German cities. They will be analysed in the context of the future relevance of greens spaces, and within the framework of current urban planning and development mechanisms.	[Mathey, Juliane; Roessler, Stefanie; Lehmann, Iris; Braeuer, Anne] Leibniz Inst Ecol & Reg Dev IOER, D-01217 Dresden, Germany	Leibniz Institut fur okologische Raumentwicklung		j.mathey@ioer.de; s.roessler@ioer.de; i.lehmann@ioer.de; a.braeuer@ioer.de							14	42	43	7	128	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES			978-94-007-0784-9	LOCAL SUSTAIN			2011	1						479	485		10.1007/978-94-007-0785-6_47	http://dx.doi.org/10.1007/978-94-007-0785-6_47			7	Environmental Sciences; Environmental Studies; Urban Studies	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Environmental Sciences & Ecology; Urban Studies	BVQ12					2023-10-25	WOS:000292277300047
J	Ruth, M; Coelho, D				Ruth, Matthias; Coelho, Dana			Understanding and managing the complexity of urban systems under climate change	CLIMATE POLICY			English	Article						adaptation; adaptive management; climate change; cities; complex systems; environmental impact; infrastructure; public policy; urban resilience	INTEGRATED ASSESSMENT; SOCIOECONOMIC CHANGE; METABOLISM; IMPACTS; TECHNOLOGY; GROWTH; TRENDS; CITY	Recent case studies for individual locations and on individual urban challenges reveal the growing complexity of managing interrelations among population, infrastructure and institutions. Climate change is increasing the pressures on many urban systems and adding to this complexity. Many of the case studies investigating urban dynamics in the light of climate change have chosen narrow, sector-specific approaches. Few projects have built on insights from complexity theory and related bodies of knowledge which are more consistent with the perspective that urban infrastructure systems are tightly coupled with one another and must respond to often subtle, long-term changes of technological, social and environmental conditions. Drawing on that knowledge, and building on insights from previous case studies, this article explores the potential roles of complexity theory in guiding investment and policy decisions in the urban context. Policy and management that are consistent with insights from complexity theory will need to anticipate a wide array of potential trajectories for urban dynamics, identify and implement strategies that are robust under a range of potential developments, continuously innovate the policy-making and management institutions, and intensify the exchange of knowledge between science and society.	[Ruth, Matthias; Coelho, Dana] Univ Maryland, Div Res, Ctr Integrat Environm Res, College Pk, MD 20742 USA; [Ruth, Matthias] Univ Maryland, Sch Publ Policy, Environm Policy Program, College Pk, MD 20742 USA; [Ruth, Matthias] Univ Maryland, A James Clark Sch Engn, College Pk, MD 20742 USA	University System of Maryland; University of Maryland College Park; University System of Maryland; University of Maryland College Park; University System of Maryland; University of Maryland College Park	Ruth, M (corresponding author), Univ Maryland, Div Res, Ctr Integrat Environm Res, Van Munching Hall,Suite 2202, College Pk, MD 20742 USA.	mruthl@umd.edu							77	72	73	2	68	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1469-3062	1752-7457		CLIM POLICY	Clim. Policy		2007	7	4					317	336		10.1080/14693062.2007.9685659	http://dx.doi.org/10.1080/14693062.2007.9685659			20	Environmental Studies; Public Administration	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Public Administration	257AE					2023-10-25	WOS:000252770200005
J	McEvoy, D; Ahmed, I; Mullett, J				McEvoy, Darryn; Ahmed, Iftekhar; Mullett, Jane			The impact of the 2009 heat wave on Melbourne's critical infrastructure	LOCAL ENVIRONMENT			English	Article						climate impacts; heat wave; infrastructure; urban system; adaptation		The impact of the extreme heat wave that affected Melbourne, Australia, in two distinct phases in January and February 2009 was severe, with 374 (heat) and 173 (bushfire) excess deaths. Whilst the human health issues have been covered in detail in policy and academic arenas, much less attention has been paid to the adverse impacts on urban infrastructure. Analysis of this event, underpinned by participatory actor-based research, has shown that the impacts were experienced disproportionately across different infrastructure types. For water, telecommunications and airports, the impacts were relatively minor and the impact on rail transport and roads (and to a lesser extent, seaports) was of moderate significance, whereas research findings indicate that the electricity sector was found to be the most vulnerable. This paper focuses on the sectors that were worst impacted: electricity, rail and road transport. Commentary identifies the direct and indirect impacts of the heat event, including associated cascading effects, as well as considering actual and potential adaptation responses both before and after the event. Concluding, the authors reflect on the implications of the heat wave for urban resilience, emphasising the crucial importance of understanding the urban environment as a complex and interconnected system.	[McEvoy, Darryn; Ahmed, Iftekhar; Mullett, Jane] RMIT Univ, Climate Change Adaptat Program, Melbourne, Vic, Australia	Royal Melbourne Institute of Technology (RMIT)	Ahmed, I (corresponding author), RMIT Univ, Climate Change Adaptat Program, Melbourne, Vic, Australia.	ifte.ahmed@rmit.edu.au	Ahmed, Iftekhar/GPW-8881-2022; McEvoy, Darryn/K-8015-2017	McEvoy, Darryn/0000-0003-4144-4137; Ahmed, Iftekhar/0000-0001-5316-4584	National Climate Change Adaptation Research Facility "Impacts and adaptation response of infrastructure and communities to heatwaves: the Southern Australian experience" (QuT-ISR); Division Of Behavioral and Cognitive Sci; Direct For Social, Behav & Economic Scie [0937777, 1134890] Funding Source: National Science Foundation	National Climate Change Adaptation Research Facility "Impacts and adaptation response of infrastructure and communities to heatwaves: the Southern Australian experience" (QuT-ISR); Division Of Behavioral and Cognitive Sci; Direct For Social, Behav & Economic Scie(National Science Foundation (NSF)NSF - Directorate for Social, Behavioral & Economic Sciences (SBE))	This work was carried out as part of a larger project funded by the National Climate Change Adaptation Research Facility "Impacts and adaptation response of infrastructure and communities to heatwaves: the Southern Australian experience of 2009" (QuT-ISR 2010).		31	62	62	1	12	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1354-9839	1469-6711		LOCAL ENVIRON	Local Environ.		2012	17	8					783	796		10.1080/13549839.2012.678320	http://dx.doi.org/10.1080/13549839.2012.678320			14	Green & Sustainable Science & Technology; Environmental Studies; Geography; Regional & Urban Planning; Urban Studies	Emerging Sources Citation Index (ESCI)	Science & Technology - Other Topics; Environmental Sciences & Ecology; Geography; Public Administration; Urban Studies	V79JK					2023-10-25	WOS:000212111100002
J	Schinke, R; Neubert, M; Hennersdorf, J; Stodolny, U; Sommer, T; Naumann, T				Schinke, R.; Neubert, M.; Hennersdorf, J.; Stodolny, U.; Sommer, T.; Naumann, T.			Damage estimation of subterranean building constructions due to groundwater inundation - the GIS-based model approach GRUWAD	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES			English	Article							FLOOD RISK-MANAGEMENT	The analysis and management of flood risk commonly focuses on surface water floods, because these types are often associated with high economic losses due to damage to buildings and settlements. The rising groundwater as a secondary effect of these floods induces additional damage, particularly in the basements of buildings. Mostly, these losses remain underestimated, because they are difficult to assess, especially for the entire building stock of flood-prone urban areas. For this purpose an appropriate methodology has been developed and lead to a groundwater damage simulation model named GRUWAD. The overall methodology combines various engineering and geoinformatic methods to calculate major damage processes by high groundwater levels. It considers a classification of buildings by building types, synthetic depth-damage functions for groundwater inundation as well as the results of a groundwater-flow model. The modular structure of this procedure can be adapted in the level of detail. Hence, the model allows damage calculations from the local to the regional scale. Among others it can be used to prepare risk maps, for ex-ante analysis of future risks, and to simulate the effects of mitigation measures. Therefore, the model is a multifarious tool for determining urban resilience with respect to high groundwater levels.	[Schinke, R.; Neubert, M.; Hennersdorf, J.; Naumann, T.] Leibniz Inst Ecol Urban & Reg Dev IOER, Dresden, Germany; [Stodolny, U.; Sommer, T.] Dresden Groundwater Res Ctr DGFZ eV, Dresden, Germany	Leibniz Institut fur okologische Raumentwicklung	Schinke, R (corresponding author), Leibniz Inst Ecol Urban & Reg Dev IOER, Dresden, Germany.	r.schinke@ioer.de	Neubert, Marco/AAE-9897-2022; Neubert, Marco/AFF-5749-2022	Neubert, Marco/0000-0002-9970-4555; Neubert, Marco/0000-0002-9970-4555; Schinke, Reinhard/0000-0002-6008-1151	German Federal Ministry of Education and Research (BMBF) [0330755]	German Federal Ministry of Education and Research (BMBF)(Federal Ministry of Education & Research (BMBF))	The presented work is based on the project MULTISURE - Development of Multi-Sequential Mitigation Strategies for Urbanised Areas Prone to Groundwater Inundation. We thank the City of Dresden for the data supply as well as the German Federal Ministry of Education and Research (BMBF) for the financial support (Project No. 0330755).		30	11	12	0	23	COPERNICUS GESELLSCHAFT MBH	GOTTINGEN	BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY	1561-8633			NAT HAZARD EARTH SYS	Nat. Hazards Earth Syst. Sci.		2012	12	9					2865	2877		10.5194/nhess-12-2865-2012	http://dx.doi.org/10.5194/nhess-12-2865-2012			13	Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Geology; Meteorology & Atmospheric Sciences; Water Resources	029ET		gold, Green Submitted			2023-10-25	WOS:000310478300011
J	Macmillan, H				Macmillan, Hugh			Mining, housing and welfare in South Africa and Zambia: an historical perspective	JOURNAL OF CONTEMPORARY AFRICAN STUDIES			English	Article						mineworkers; housing; welfare; gold; copper; platinum		This contribution seeks to place the relationship between mining, housing and welfare in historical perspective in two Southern African countries with long histories of mining activity that continue to have large mining sectors, namely South Africa and Zambia. Mining capitalists and colonial, as well as apartheid, governments tended to resist urban permanence, but they were usually unable to stop it. Economists and social anthropologists, being less conscious than historians of the cyclical nature of mining, have been prone to discount the remarkable tenacity of the Zambian Copperbelt's urban residents in the face of mining downturns. By contrast, very little attention in the literature has been paid to the decline of gold mining in South Africa. In view of the Zambian precedent for urban resilience, it would be unwise to overlook the continuing influence of South African mining on urban settlement in spite of the industry's gradual decline over the last four decades. The patterns of development of new platinum mines in South Africa and new copper mines in Zambia show certain similarities and historical continuities, including a reluctance on the part of mining companies to accept responsibility for the housing and welfare of all their workers and their families.	[Macmillan, Hugh] Univ Oxford, African Studies Ctr, Oxford, England	University of Oxford	Macmillan, H (corresponding author), Univ Oxford, African Studies Ctr, Oxford, England.	hughmacm@gmail.com			ESRC [ES/H033521/1] Funding Source: UKRI	ESRC(UK Research & Innovation (UKRI)Economic & Social Research Council (ESRC))			43	17	17	0	0	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0258-9001	1469-9397		J CONTEMP AFR STUD	J. Contemp. Afr. Stud.		2012	30	4					539	550		10.1080/02589001.2012.736782	http://dx.doi.org/10.1080/02589001.2012.736782			12	Area Studies	Emerging Sources Citation Index (ESCI)	Area Studies	V2S2Q					2023-10-25	WOS:000217864300002
C	Rauland, V; Newman, P		Chan, F; Marinova, D; Anderssen, RS		Rauland, V; Newman, P.			Decarbonising Australian cities: A new model for creating low carbon, resilient cities	19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011)			English	Proceedings Paper	MSSANZ 19th Biennial Congress on Modelling and Simulation (MODSIM)	DEC 12-16, 2011	Perth, AUSTRALIA	CSIRO, Australian Govt, Bur Meteorol, Per Convent & Exhibit Ctr, Perth Convent Bur, Curtin Univ, Australian Math Soc, Australian & New Zealand Ind & Appl Math, Australian Math Sci Inst, Maralte Publishers, Econ Soc Australian, HEMA Consulting, Simulat Australia, Stat Soc Australia Inc, Modelling & Simulat Soc Australia & New Zealand Inc, Int Assoc Math & Comp Simulat		Decarbonising; Green Infrastructure; Decentralised Resource Management; Density	MANAGEMENT	Australia currently has one of the largest per capita carbon and ecological footprints in the world. It also has a rapidly rising population with significant growth expected into the future. This paper analyses Australia's existing infrastructure and urban form, the carbon implications associated with it, along with the resources needed to sustain this way of life. The paper demonstrates how the current design of Australian cities based on large houses in low density, dispersed suburbs, which are highly car dependent is extremely resource and emission intensive and ultimately unsustainable. It is argued that the large scale, centralised management of resources, based on outdated technologies and compounded by aging infrastructure further exacerbates the problem. If Australia continues under this 'business as usual' scenario, an increase in emissions, along with numerous resource concerns can be expected. The authors contend, therefore, that Australia urgently needs to transform its cities to embrace new low carbon designs and more efficient and resilient urban systems and processes to ensure the long-term viability of Australian cities. A new model for cities is thus proposed, which is based around the concept of decentralized management of resources using new, low carbon technologies that appear to function best at the precinct level. These can help to create more integrated and resilient infrastructure systems within our cities that will greatly improve efficiency. The technologies outlined, however, are dependent on the urban form in that they are only effective and economically viable if sufficient density exists. In the case of Australian cities, this would therefore involve increasing the density in many areas, especially new centres. Adding density has numerous other benefits such as enabling better public transport infrastructure, which will reduce car dependency and the related transported emissions. Using density to transform cities can also improve quality of life by offering more local amenities and better lifestyles.	[Rauland, V; Newman, P.] Curtin Univ Sustainabil Policy Inst, Perth, WA, Australia	Curtin University	Rauland, V (corresponding author), Curtin Univ Sustainabil Policy Inst, Perth, WA, Australia.	v.rauland@curtin.edu.au; p.newman@curtin.edu.au		Newman, Peter/0000-0002-8668-2764					35	6	6	0	13	MODELLING & SIMULATION SOC AUSTRALIA & NEW ZEALAND INC	CHRISTCHURCH	MSSANZ, CHRISTCHURCH, 00000, NEW ZEALAND			978-0-9872143-1-7				2011							3073	3079						7	Computer Science, Interdisciplinary Applications; Operations Research & Management Science; Mathematics, Applied	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Operations Research & Management Science; Mathematics	BDU79					2023-10-25	WOS:000314989303008
J	McDonnell, MJ; Hahs, AK				McDonnell, Mark J.; Hahs, Amy K.			The future of urban biodiversity research: Moving beyond the 'low-hanging fruit'	URBAN ECOSYSTEMS			English	Article							URBANIZATION; ECOLOGY; GRADIENT; CONSERVATION; PREDATION; BIOLOGY; TRAITS; GROWTH	In this era of rapidly urbanising human populations, urban practitioners are under increasing pressure to create resilient and sustainable cities and towns. Urban ecologists currently have a unique opportunity to apply solid, evidence-based research to help create biodiversity-rich and sustainable cities and towns for the future. Unfortunately, there is currently a mismatch between the questions planners, designers and decision-makers are asking urban ecologists that would allow them to improve the biodiversity outcomes in urban areas, and the questions urban ecologists must ask to contribute to the development and application of the science of urban ecology. For a number of reasons, urban ecologists over the past 25 years have primarily focused on describing the patterns of biodiversity in cities and towns using broad, aggregate predictor variables (e.g., distance to city center, land-use, percent cover of impermeable surfaces and vegetation, etc.). We refer to these results as 'low-hanging fruit'. If the discipline of urban ecology is going to provide the necessary information to inform actions to preserve and enhance urban biodiversity, we need to move beyond place-based research, and work towards the development of confirmed generalizations regarding the relationship between the structure and function of urban ecosystems and biodiversity. We propose three essential strategies for achieving this refined understanding: 1) defining the study window to place the study into a broader global context, 2) collecting and using more explicit question-driven measures of the urban condition in order to improve our understanding of urban ecological drivers, as well as recording more detailed ecological responses to provide insights into the ecological mechanisms underlying an observed response, and 3) expanding studies to include multiple cities, regions and countries. These strategies will help to expedite the ability of urban ecology to contribute to the creation of biodiversity-rich, healthy, resilient cities and towns.			McDonnell, MJ (corresponding author), Univ Melbourne, Australian Res Ctr Urban Ecol, Royal Bot Gardens Melbourne, Sch Bot, Melbourne, Vic 3010, Australia.	markmc@unimelb.edu.au; hahsa@unimelb.edu.au	Hahs, Amy K/H-4478-2019	Hahs, Amy K/0000-0003-0163-6732; McDonnell, Mark J./0000-0002-7937-6566					68	109	115	2	225	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1083-8155	1573-1642		URBAN ECOSYST	Urban Ecosyst.	SEP	2013	16	3					397	409		10.1007/s11252-013-0315-2	http://dx.doi.org/10.1007/s11252-013-0315-2			13	Biodiversity Conservation; Ecology; Environmental Sciences; Urban Studies	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Environmental Sciences & Ecology; Urban Studies	202MK		Green Submitted			2023-10-25	WOS:000323220800001
